name,handedness,height,weight,BMI,avg,HR
Freddie Patek,R,65,148,24.62579882,0.242,41
Walt Williams,R,66,165,26.62878788,0.27,33
Onix Concepcion,R,66,160,25.82185491,0.239,3
Vic Davalillo,L,67,150,23.49075518,0.279,36
Don Buford,B,67,160,25.05680552,0.264,93
Joe Morgan,L,67,160,25.05680552,0.271,268
Ron Brand,R,67,167,26.15304077,0.239,3
Dick Howser,R,68,155,23.56509516,0.248,16
Al Bumbry,L,68,170,25.84558824,0.281,54
Jim French,L,68,180,27.36591696,0.196,5
Enzo Hernandez,R,68,155,23.56509516,0.224,2
Larvell Blanks,R,68,167,25.38948962,0.253,20
Fred Norman,B,68,155,23.56509516,0.125,0
Roberto Pena,R,68,170,25.84558824,0.245,13
Ron Theobald,R,68,165,25.08542388,0.248,2
Rich Coggins,L,68,170,25.84558824,0.265,12
Curt Motton,R,68,164,24.933391,0.213,25
Sandy Valdespino,L,68,170,25.84558824,0.23,7
Denny Doyle,L,69,175,25.84015963,0.25,16
Juan Bonilla,R,69,170,25.10186936,0.256,7
Gene Clines,R,69,170,25.10186936,0.277,5
Bump Wills,B,69,172,25.39718547,0.266,36
Cesar Tovar,R,69,155,22.88699853,0.278,46
Elio Chacon,R,69,160,23.6252888,0.232,4
Floyd Robinson,L,69,175,25.84015963,0.283,67
Manny Castillo,B,69,160,23.6252888,0.242,3
Darryl Motley,R,69,196,28.94097879,0.243,44
Bucky Dent,R,69,170,25.10186936,0.247,40
Tony Gonzalez,L,69,170,25.10186936,0.286,103
Horace Clarke,B,69,170,25.10186936,0.256,27
Mike Tyson,R,69,170,25.10186936,0.241,27
Glenn Hubbard,R,69,150,22.14870825,0.244,70
Israel Sanchez,L,69,170,25.10186936,0,0
Mike Sadek,R,69,165,24.36357908,0.226,5
Cesar Gutierrez,R,69,155,22.88699853,0.235,0
Luis Alvarado,R,69,162,23.92060491,0.214,5
Lenn Sakata,R,69,160,23.6252888,0.23,25
Angel Moreno,L,69,165,24.36357908,0,0
Larry Lintz,B,69,150,22.14870825,0.227,0
Matty Alou,L,69,160,23.6252888,0.307,31
Boots Day,L,69,160,23.6252888,0.256,8
Sandy Alomar,B,69,140,20.6721277,0.245,13
